Drug1,Drug2,Label
Candesartancilexetil,Abiraterone,0
Cannabidiol,Abiraterone,0
Captopril,Abiraterone,2
Carbamazepine,Abiraterone,3
Carbinoxamine,Abiraterone,2
Cariprazine,Abiraterone,2
Carisoprodol,Abiraterone,0
Carmustine,Abiraterone,2
Carteolol,Abiraterone,2
Carvedilol,Abiraterone,2
Celecoxib,Abiraterone,0
Ceritinib,Abiraterone,2
Cerivastatin,Abiraterone,2
Cevimeline,Abiraterone,2
Chloramphenicol,Abiraterone,0
Chloroquine,Abiraterone,2
Chlorphenamine,Abiraterone,2
Chlorpromazine,Abiraterone,2
Chlorpropamide,Abiraterone,0
Chlorzoxazone,Abiraterone,2
Cilostazol,Abiraterone,2
Cinacalcet,Abiraterone,2
Cinnarizine,Abiraterone,2
Cisapride,Abiraterone,2
Citalopram,Abiraterone,2
Clarithromycin,Abiraterone,0
Clemastine,Abiraterone,0
Clenbuterol,Abiraterone,2
Clevidipine,Abiraterone,2
Clomipramine,Abiraterone,2
Clonidine,Abiraterone,2
Clopidogrel,Abiraterone,38
Abiraterone,Clotiazepam,0
Abiraterone,Clotrimazole,0
Abiraterone,Clozapine,2
Abiraterone,Codeine,2
Abiraterone,Conivaptan,2
Abiraterone,Crizotinib,0
Abiraterone,Cyclobenzaprine,2
Abiraterone,Cyclophosphamide,2
Abiraterone,Cyclosporine,0
Abiraterone,Dabrafenib,3
Abiraterone,Dacarbazine,2
Abiraterone,Dapagliflozin,2
Abiraterone,Darifenacin,2
Abiraterone,Dasatinib,2
Abiraterone,Daunorubicin,2
Abiraterone,Debrisoquin,2
Abiraterone,Desipramine,2
Abiraterone,Deutetrabenazine,2
Abiraterone,Dexchlorpheniraminemaleate,2
Abiraterone,Dexfenfluramine,2
Abiraterone,Dexlansoprazole,0
Abiraterone,Dexmethylphenidate,2
Abiraterone,Dextroamphetamine,2
Abiraterone,Dextromethorphan,2
Abiraterone,Diazepam,2
Abiraterone,Diclofenac,2
Abiraterone,Dicoumarol,0
Abiraterone,Digitoxin,18
Abiraterone,Digoxin,18
Abiraterone,Dihydroergotamine,0
Abiraterone,Diltiazem,2
Abiraterone,Dinoprostone,2
Abiraterone,Diphenhydramine,2
Abiraterone,Docetaxel,1
Abiraterone,Doconexent,0
Abiraterone,Dolasetron,2
Abiraterone,Domperidone,2
Abiraterone,Donepezil,2
Abiraterone,Dopamine,2
Abiraterone,Dorzolamide,0
Abiraterone,Doxazosin,2
Abiraterone,Doxepin,2
Abiraterone,Doxorubicin,2
Abiraterone,Doxycycline,0
Abiraterone,Dronabinol,2
Abiraterone,Dronedarone,2
Abiraterone,Duloxetine,2
Abiraterone,Eletriptan,2
Abiraterone,Eliglustat,2
Abiraterone,Eltrombopag,2
Abiraterone,Enasidenib,2
Abiraterone,Encainide,2
Abiraterone,Enzalutamide,3
Abiraterone,Epinastine,2
Abiraterone,Epoprostenol,0
Abiraterone,Ergotamine,2
Abiraterone,Erlotinib,2
Abiraterone,Erythromycin,0
Abiraterone,Escitalopram,2
Abiraterone,Esomeprazole,0
Abiraterone,Estradiol,2
Abiraterone,Estradiolacetate,2
Abiraterone,Estradiolbenzoate,2
Abiraterone,Estradiolcypionate,2
Abiraterone,Estradioldienanthate,2
Abiraterone,Estradiolvalerate,2
Abiraterone,Estrone,2
Abiraterone,Estronesulfate,2
Abiraterone,Eszopiclone,2
Abiraterone,Ethanol,2
Abiraterone,Ethylmorphine,2
Abiraterone,Etizolam,0
Abiraterone,Etodolac,0
Abiraterone,Etoposide,2
Abiraterone,Etoricoxib,2
Abiraterone,Famotidine,0
Abiraterone,Fesoterodine,2
Abiraterone,Fingolimod,2
Abiraterone,Flecainide,2
Abiraterone,Flunarizine,2
Abiraterone,Flunitrazepam,2
Abiraterone,Fluorouracil,2
Abiraterone,Fluoxetine,2
Abiraterone,Fluphenazine,2
Abiraterone,Flurbiprofen,0
Abiraterone,Flutamide,2
Abiraterone,Fluvastatin,2
Abiraterone,Fluvoxamine,2
Abiraterone,Formoterol,2
Abiraterone,Fosphenytoin,3
Abiraterone,Frovatriptan,2
Abiraterone,Galantamine,2
Abiraterone,Gefitinib,2
Abiraterone,Gliclazide,0
Abiraterone,Glimepiride,0
Abiraterone,Glipizide,0
Abiraterone,Glucosamine,0
Abiraterone,Glyburide,0
Abiraterone,Granisetron,2
Abiraterone,Guanabenz,2
Abiraterone,Guanfacine,0
Abiraterone,Halofantrine,2
Abiraterone,Haloperidol,2
Abiraterone,Halothane,2
Abiraterone,Hesperetin,2
Abiraterone,Hexobarbital,2
Abiraterone,Histamine,0
Abiraterone,Hydrocodone,2
Abiraterone,Hydromorphone,2
Abiraterone,Ibrutinib,2
Abiraterone,Ibuprofen,2
Abiraterone,Icotinib,2
Abiraterone,Idarubicin,2
Abiraterone,Ifosfamide,2
Abiraterone,Iloperidone,2
Abiraterone,Imatinib,2
Abiraterone,Imipramine,2
Abiraterone,Imiquimod,2
Abiraterone,Indomethacin,0
Abiraterone,Ipratropiumbromide,2
Abiraterone,Irbesartan,2
Abiraterone,Isavuconazole,2
Abiraterone,Isradipine,0
Abiraterone,Itraconazole,0
Abiraterone,Ivacaftor,2
Abiraterone,Ketamine,2
Abiraterone,Ketobemidone,2
Abiraterone,Ketoconazole,0
Abiraterone,Ketoprofen,0
Abiraterone,Labetalol,2
Abiraterone,Lansoprazole,2
Abiraterone,Lapatinib,2
Abiraterone,Leflunomide,2
Abiraterone,Lesinurad,0
Abiraterone,Levobupivacaine,2
Abiraterone,Levodopa,2
Abiraterone,Levomilnacipran,2
Abiraterone,Lidocaine,2
Abiraterone,Lisuride,2
Abiraterone,Lomefloxacin,2
Abiraterone,Lomustine,2
Abiraterone,Loperamide,2
Abiraterone,Loratadine,2
Abiraterone,Lorcaserin,2
Abiraterone,Lornoxicam,0
Abiraterone,Lorpiprazole,2
Abiraterone,Losartan,2
Abiraterone,Lovastatin,0
Abiraterone,Lumacaftor,3
Abiraterone,Lumiracoxib,2
Abiraterone,Macitentan,0
Abiraterone,Malathion,2
Abiraterone,Maprotiline,2
Abiraterone,Mefenamicacid,2
Abiraterone,Melatonin,2
Abiraterone,Meloxicam,2
Abiraterone,Menadione,2
Abiraterone,Meprobamate,0
Abiraterone,Mequitazine,2
Abiraterone,Mesoridazine,2
Abiraterone,Mestranol,0
Abiraterone,Methadone,2
Abiraterone,Methamphetamine,2
Abiraterone,Methotrimeprazine,2
Abiraterone,Methoxyflurane,2
Abiraterone,Methsuximide,0
Abiraterone,Methylphenidate,2
Abiraterone,Methylphenobarbital,0
Abiraterone,Methyprylon,2
Abiraterone,Metoclopramide,2
Abiraterone,Metoprolol,2
Abiraterone,Metronidazole,0
Abiraterone,Mexiletine,2
Abiraterone,Mianserin,2
Abiraterone,Mifepristone,2
Abiraterone,Minaprine,2
Abiraterone,Mirabegron,2
Abiraterone,Mirtazapine,2
Abiraterone,Mitotane,3
Abiraterone,Moclobemide,2
Abiraterone,Montelukast,0
Abiraterone,Morphine,2
Abiraterone,Mycophenolatemofetil,2
Abiraterone,Nabiximols,0
Abiraterone,Nabumetone,2
Abiraterone,Naloxone,2
Abiraterone,Naproxen,2
Abiraterone,Nateglinide,2
Abiraterone,Nebivolol,2
Abiraterone,Nefazodone,2
Abiraterone,Netupitant,2
Abiraterone,Nicardipine,2
Acebutolol,Aceclofenac,9
Acebutolol,Acemetacin,4
Acebutolol,Acetohexamide,10
Acebutolol,Acetylcholine,1
Acebutolol,Acetylsalicylicacid,9
Acebutolol,Alfentanil,13
Acebutolol,Alfuzosin,7
Acebutolol,Alimemazine,7
Acebutolol,Aliskiren,7
Acebutolol,Alprenolol,7
Acebutolol,Ambenonium,13
Acebutolol,Ambrisentan,7
Acebutolol,Amifostine,7
Acebutolol,Amiloride,1
Acebutolol,Aminophylline,29
Acebutolol,Amiodarone,15
Acebutolol,Amlodipine,7
Acebutolol,Amobarbital,3
Acebutolol,Amodiaquine,0
Acebutolol,Amphetamine,1
Acebutolol,Amylnitrite,1
Acebutolol,Antipyrine,9
Acebutolol,Apalutamide,3
Acebutolol,Apomorphine,20
Acebutolol,Apremilast,9
Acebutolol,Arformoterol,29
Acebutolol,Aripiprazole,7
Acebutolol,Arsenictrioxide,1
Acebutolol,Atomoxetine,32
Acebutolol,Avanafil,25
Acebutolol,Azelastine,9
Acebutolol,Balsalazide,9
Acebutolol,Bambuterol,29
Acebutolol,Benazepril,7
Acebutolol,Bendroflumethiazide,7
Acebutolol,Benzphetamine,20
Acebutolol,Bepridil,7
Acebutolol,Betaxolol,7
Acebutolol,Bisoprolol,7
Acebutolol,Bortezomib,1
Acebutolol,Bosentan,7
Acebutolol,Brimonidine,25
Acebutolol,Bromfenac,9
Acebutolol,Bromocriptine,20
Acebutolol,Bumetanide,1
Acebutolol,Bupivacaine,2
Acebutolol,Cabergoline,33
Acebutolol,Canagliflozin,1
Acebutolol,Candesartancilexetil,7
Acebutolol,Captopril,7
Acebutolol,Carbachol,1
Acebutolol,Carteolol,7
Acebutolol,Carvedilol,17
Acebutolol,Celecoxib,9
Acebutolol,Celiprolol,1
Acebutolol,Ceritinib,13
Acebutolol,Cevimeline,1
Acebutolol,Chloroquine,0
Acebutolol,Chlorpromazine,7
Acebutolol,Chlorpropamide,10
Acebutolol,Cilnidipine,1
Acebutolol,Clenbuterol,1
Acebutolol,Clevidipine,1
Acebutolol,Clofarabine,1
Acebutolol,Clomipramine,1
Acebutolol,Clonidine,20
Acebutolol,Clozapine,1
Acebutolol,Conivaptan,1
Acebutolol,Crizotinib,13
Acebutolol,Dapagliflozin,1
Acebutolol,Debrisoquin,7
Acebutolol,Decamethonium,13
Acebutolol,Desvenlafaxine,2
Acebutolol,Dexmedetomidine,20
Acebutolol,Diazoxide,7
Acebutolol,Diclofenac,9
Acebutolol,Diclofenamide,1
Acebutolol,Diflunisal,9
Acebutolol,Digitoxin,13
Acebutolol,Digoxin,13
Acebutolol,Dihydroergotamine,20
Acebutolol,Diltiazem,7
Acebutolol,Disopyramide,13
Acebutolol,Dobutamine,1
Acebutolol,Donepezil,13
Acebutolol,Dopamine,1
Acebutolol,Dorzolamide,7
Acebutolol,Doxazosin,17
Acebutolol,Dronabinol,22
Acebutolol,Dronedarone,13
Acebutolol,Droxidopa,20
Acebutolol,Duloxetine,17
Acebutolol,Efonidipine,7
Acebutolol,Enalapril,7
Acebutolol,Ephedrine,1
Acebutolol,Epinephrine,20
Acebutolol,Eplerenone,1
Acebutolol,Epoprostenol,7
Acebutolol,Eprosartan,7
Acebutolol,Ergonovine,33
Acebutolol,Ergotamine,20
Acebutolol,Etacrynicacid,1
Acebutolol,Etodolac,9
Acebutolol,Etomidate,20
Acebutolol,Etoricoxib,9
Acebutolol,Felodipine,7
Acebutolol,Fentanyl,13
Acebutolol,Fesoterodine,12
Fingolimod,Acebutolol,13
Fluoxetine,Acebutolol,2
Fluphenazine,Acebutolol,7
Flurbiprofen,Acebutolol,9
Formoterol,Acebutolol,29
Furosemide,Acebutolol,1
Galantamine,Acebutolol,13
Gliclazide,Acebutolol,10
Glimepiride,Acebutolol,10
Glipizide,Acebutolol,10
Glyburide,Acebutolol,10
Guanabenz,Acebutolol,20
Guanethidine,Acebutolol,7
Guanfacine,Acebutolol,20
Halothane,Acebutolol,1
Hexobarbital,Acebutolol,3
Hydralazine,Acebutolol,7
Hydroxychloroquine,Acebutolol,0
Ibuprofen,Acebutolol,9
Imipramine,Acebutolol,1
Indacaterol,Acebutolol,29
Indapamide,Acebutolol,7
Indomethacin,Acebutolol,9
Irbesartan,Acebutolol,7
Isavuconazole,Acebutolol,2
Isoflurane,Acebutolol,1
Isoflurophate,Acebutolol,13
Isoprenaline,Acebutolol,1
Isosorbidedinitrate,Acebutolol,1
Isosorbidemononitrate,Acebutolol,1
Isradipine,Acebutolol,7
Ketoprofen,Acebutolol,9
Labetalol,Acebutolol,17
Leflunomide,Acebutolol,9
Lercanidipine,Acebutolol,7
Levobupivacaine,Acebutolol,1
Levodopa,Acebutolol,17
Levomilnacipran,Acebutolol,2
Levosalbutamol,Acebutolol,29
Lidocaine,Acebutolol,2
Lornoxicam,Acebutolol,9
Losartan,Acebutolol,7
Loxoprofen,Acebutolol,9
Lumacaftor,Acebutolol,3
Lumiracoxib,Acebutolol,9
Macitentan,Acebutolol,7
Malathion,Acebutolol,13
Masoprocol,Acebutolol,9
Mefenamicacid,Acebutolol,9
Mefloquine,Acebutolol,13
Meloxicam,Acebutolol,9
Memantine,Acebutolol,13
Mesoridazine,Acebutolol,7
Metamizole,Acebutolol,9
Methamphetamine,Acebutolol,20
Methazolamide,Acebutolol,1
Methotrimeprazine,Acebutolol,7
Methyldopa,Acebutolol,7
Methylergometrine,Acebutolol,33
Methylphenidate,Acebutolol,9
Methylphenobarbital,Acebutolol,3
Metoclopramide,Acebutolol,13
Metoprolol,Acebutolol,2
Midodrine,Acebutolol,13
Minaprine,Acebutolol,13
Moclobemide,Acebutolol,7
Molsidomine,Acebutolol,7
Morphine,Acebutolol,1
Mycophenolatemofetil,Acebutolol,9
Mycophenolicacid,Acebutolol,9
Nabilone,Acebutolol,1
Nabumetone,Acebutolol,9
Naproxen,Acebutolol,9
Nebivolol,Acebutolol,7
Nefazodone,Acebutolol,2
Neostigmine,Acebutolol,13
Nicardipine,Acebutolol,7
Acemetacin,Aceclofenac,1
Acenocoumarol,Aceclofenac,11
Acetylsalicylicacid,Aceclofenac,1
Alclometasone,Aceclofenac,1
Aliskiren,Aceclofenac,9
Alprenolol,Aceclofenac,9
Amiloride,Aceclofenac,9
Amiodarone,Aceclofenac,0
Amrubicin,Aceclofenac,19
Antipyrine,Aceclofenac,1
Apalutamide,Aceclofenac,3
Apixaban,Aceclofenac,11
Apremilast,Aceclofenac,1
Aprepitant,Aceclofenac,8
Argatroban,Aceclofenac,11
Azelastine,Aceclofenac,1
Balsalazide,Aceclofenac,31
Beclomethasonedipropionate,Aceclofenac,1
Benazepril,Aceclofenac,1
Bendroflumethiazide,Aceclofenac,4
Betamethasone,Aceclofenac,1
Betaxolol,Aceclofenac,9
Betrixaban,Aceclofenac,40
Bisoprolol,Aceclofenac,9
Bivalirudin,Aceclofenac,11
Bromfenac,Aceclofenac,1
Budesonide,Aceclofenac,1
Bumetanide,Aceclofenac,4
Candesartancilexetil,Aceclofenac,1
Capecitabine,Aceclofenac,0
Captopril,Aceclofenac,1
Carbamazepine,Aceclofenac,8
Carteolol,Aceclofenac,9
Carvedilol,Aceclofenac,9
Celecoxib,Aceclofenac,1
Celiprolol,Aceclofenac,9
Ceritinib,Aceclofenac,2
Chloroquine,Aceclofenac,1
Cholecalciferol,Aceclofenac,0
Ciclesonide,Aceclofenac,1
Clobetasolpropionate,Aceclofenac,1
Clodronicacid,Aceclofenac,1
Clotrimazole,Aceclofenac,0
Cortisoneacetate,Aceclofenac,1
Crisaborole,Aceclofenac,0
Cyclosporine,Aceclofenac,31
Dabigatranetexilate,Aceclofenac,11
Dabrafenib,Aceclofenac,3
Daunorubicin,Aceclofenac,19
Desmopressin,Aceclofenac,1
Dexamethasone,Aceclofenac,1
Dexketoprofen,Aceclofenac,1
Diclofenac,Aceclofenac,1
Dicoumarol,Aceclofenac,11
Diflunisal,Aceclofenac,1
Digoxin,Aceclofenac,2
Dinoprostone,Aceclofenac,4
Dosulepin,Aceclofenac,0
Doxorubicin,Aceclofenac,19
Drospirenone,Aceclofenac,30
Enalapril,Aceclofenac,1
Enoxacin,Aceclofenac,34
Epirubicin,Aceclofenac,19
Eplerenone,Aceclofenac,9
Epoprostenol,Aceclofenac,4
Eprosartan,Aceclofenac,1
Estrone,Aceclofenac,1
Estronesulfate,Aceclofenac,1
Etacrynicacid,Aceclofenac,4
Etodolac,Aceclofenac,1
Etoricoxib,Aceclofenac,1
Floxuridine,Aceclofenac,0
Flunisolide,Aceclofenac,1
Fluocinoloneacetonide,Aceclofenac,1
Fluorometholone,Aceclofenac,1
Fluorouracil,Aceclofenac,0
Flurbiprofen,Aceclofenac,1
Fluticasonefuroate,Aceclofenac,1
Fluticasonepropionate,Aceclofenac,1
Fluvastatin,Aceclofenac,0
Fluvoxamine,Aceclofenac,0
Folicacid,Aceclofenac,4
Fosphenytoin,Aceclofenac,8
Furosemide,Aceclofenac,4
Gemfibrozil,Aceclofenac,0
Haloperidol,Aceclofenac,1
Hydralazine,Aceclofenac,9
Hydrocortisone,Aceclofenac,1
Ibuprofen,Aceclofenac,1
Idarubicin,Aceclofenac,19
Indapamide,Aceclofenac,4
Indomethacin,Aceclofenac,1
Irbesartan,Aceclofenac,0
Ketoconazole,Aceclofenac,0
Ketoprofen,Aceclofenac,1
Labetalol,Aceclofenac,9
Leflunomide,Aceclofenac,0
Levofloxacin,Aceclofenac,34
Lobeglitazone,Aceclofenac,0
Lornoxicam,Aceclofenac,1
Losartan,Aceclofenac,0
Lovastatin,Aceclofenac,0
Loxoprofen,Aceclofenac,1
Lubiprostone,Aceclofenac,4
Lumacaftor,Aceclofenac,3
Lumiracoxib,Aceclofenac,1
Masoprocol,Aceclofenac,1
Mefenamicacid,Aceclofenac,1
Meloxicam,Aceclofenac,1
Metamizole,Aceclofenac,1
Methotrexate,Aceclofenac,2
Methylprednisolone,Aceclofenac,1
Metoprolol,Aceclofenac,9
Midostaurin,Aceclofenac,0
Mifepristone,Aceclofenac,2
Mometasone,Aceclofenac,1
Morniflumate,Aceclofenac,1
Mycophenolatemofetil,Aceclofenac,1
Mycophenolicacid,Aceclofenac,1
Nabumetone,Aceclofenac,1
Naproxen,Aceclofenac,1
Nebivolol,Aceclofenac,9
Nicardipine,Aceclofenac,0
Acenocoumarol,Acemetacin,40
Acetazolamide,Acemetacin,4
Acetylsalicylicacid,Acemetacin,1
Alclometasone,Acemetacin,1
Aliskiren,Acemetacin,4
Alprenolol,Acemetacin,4
Ambrisentan,Acemetacin,4
Amiloride,Acemetacin,4
Amlodipine,Acemetacin,4
Amrubicin,Acemetacin,19
Antipyrine,Acemetacin,1
Apixaban,Acemetacin,40
Apremilast,Acemetacin,1
Arformoterol,Acemetacin,4
Argatroban,Acemetacin,40
Azelastine,Acemetacin,1
Balsalazide,Acemetacin,1
Bambuterol,Acemetacin,4
Beclomethasonedipropionate,Acemetacin,1
Benazepril,Acemetacin,4
Bendroflumethiazide,Acemetacin,4
Bepridil,Acemetacin,4
Betamethasone,Acemetacin,1
Betaxolol,Acemetacin,4
Betrixaban,Acemetacin,40
Bisoprolol,Acemetacin,4
Bivalirudin,Acemetacin,40
Bosentan,Acemetacin,4
Brimonidine,Acemetacin,4
Bromfenac,Acemetacin,1
Budesonide,Acemetacin,1
Bumetanide,Acemetacin,4
Candesartancilexetil,Acemetacin,4
Captopril,Acemetacin,4
Carbachol,Acemetacin,4
Carteolol,Acemetacin,4
Carvedilol,Acemetacin,4
Celecoxib,Acemetacin,1
Celiprolol,Acemetacin,4
Chloroquine,Acemetacin,1
Choline,Acemetacin,4
Cholinesalicylate,Acemetacin,4
Ciclesonide,Acemetacin,1
Clenbuterol,Acemetacin,4
Clobetasolpropionate,Acemetacin,1
Clodronicacid,Acemetacin,1
Clonidine,Acemetacin,4
Conivaptan,Acemetacin,4
Cortisoneacetate,Acemetacin,1
Dabigatranetexilate,Acemetacin,40
Daunorubicin,Acemetacin,19
Debrisoquin,Acemetacin,4
Desmopressin,Acemetacin,1
Dexamethasone,Acemetacin,1
Dexketoprofen,Acemetacin,1
Diazoxide,Acemetacin,4
Diclofenac,Acemetacin,1
Dicoumarol,Acemetacin,40
Diflunisal,Acemetacin,2
Digoxin,Acemetacin,2
Diltiazem,Acemetacin,4
Dinoprostone,Acemetacin,4
Dorzolamide,Acemetacin,4
Doxazosin,Acemetacin,4
Doxorubicin,Acemetacin,19
Drospirenone,Acemetacin,4
Droxidopa,Acemetacin,4
Efonidipine,Acemetacin,4
Enalapril,Acemetacin,4
Enoxacin,Acemetacin,34
Epinephrine,Acemetacin,4
Epirubicin,Acemetacin,19
Eplerenone,Acemetacin,4
Epoprostenol,Acemetacin,4
Eprosartan,Acemetacin,4
Estrone,Acemetacin,1
Estronesulfate,Acemetacin,1
Etacrynicacid,Acemetacin,4
Etodolac,Acemetacin,1
Etoricoxib,Acemetacin,1
Felodipine,Acemetacin,4
Flunisolide,Acemetacin,1
Fluocinoloneacetonide,Acemetacin,1
Fluorometholone,Acemetacin,1
Flurbiprofen,Acemetacin,1
Fluticasonefuroate,Acemetacin,1
Fluticasonepropionate,Acemetacin,1
Folicacid,Acemetacin,4
Formoterol,Acemetacin,4
Furosemide,Acemetacin,57
Guanabenz,Acemetacin,4
Guanethidine,Acemetacin,4
Guanfacine,Acemetacin,4
Haloperidol,Acemetacin,1
Hydralazine,Acemetacin,4
Hydrocortisone,Acemetacin,1
Ibuprofen,Acemetacin,1
Idarubicin,Acemetacin,19
Indapamide,Acemetacin,4
Indomethacin,Acemetacin,1
Irbesartan,Acemetacin,4
Isoprenaline,Acemetacin,4
Isradipine,Acemetacin,4
Ketoprofen,Acemetacin,1
Labetalol,Acemetacin,4
Leflunomide,Acemetacin,1
Lercanidipine,Acemetacin,4
Levofloxacin,Acemetacin,34
Levosalbutamol,Acemetacin,4
Lornoxicam,Acemetacin,1
Losartan,Acemetacin,4
Loxoprofen,Acemetacin,1
Lubiprostone,Acemetacin,4
Lumiracoxib,Acemetacin,1
Macitentan,Acemetacin,4
Masoprocol,Acemetacin,1
Mefenamicacid,Acemetacin,1
Meloxicam,Acemetacin,1
Mersalyl,Acemetacin,4
Metamizole,Acemetacin,1
Methazolamide,Acemetacin,4
Methotrexate,Acemetacin,2
Methyldopa,Acemetacin,4
Methylprednisolone,Acemetacin,1
Metoprolol,Acemetacin,4
Midodrine,Acemetacin,4
Miltefosine,Acemetacin,4
Mometasone,Acemetacin,1
Morniflumate,Acemetacin,1
Mycophenolatemofetil,Acemetacin,1
Mycophenolicacid,Acemetacin,1
Nabumetone,Acemetacin,1
Naproxen,Acemetacin,1
Nebivolol,Acemetacin,4
Nicardipine,Acemetacin,4
Acetaminophen,Acenocoumarol,11
Acetohexamide,Acenocoumarol,11
Acetylsalicylicacid,Acenocoumarol,11
Allopurinol,Acenocoumarol,11
Allylestrenol,Acenocoumarol,4
Aminosalicylicacid,Acenocoumarol,11
Amiodarone,Acenocoumarol,15
Amitriptyline,Acenocoumarol,11
Amobarbital,Acenocoumarol,8
Amoxapine,Acenocoumarol,11
Anagrelide,Acenocoumarol,11
Antipyrine,Acenocoumarol,11
Apalutamide,Acenocoumarol,3
Apixaban,Acenocoumarol,11
Apremilast,Acenocoumarol,11
Aprepitant,Acenocoumarol,2
Argatroban,Acenocoumarol,11
Armodafinil,Acenocoumarol,0
Atomoxetine,Acenocoumarol,0
Azathioprine,Acenocoumarol,35
Azelastine,Acenocoumarol,11
Azithromycin,Acenocoumarol,0
Balsalazide,Acenocoumarol,11
Bezafibrate,Acenocoumarol,11
Bicalutamide,Acenocoumarol,2
Bivalirudin,Acenocoumarol,11
Bortezomib,Acenocoumarol,0
Bosentan,Acenocoumarol,8
Bromfenac,Acenocoumarol,11
Caffeine,Acenocoumarol,0
Capecitabine,Acenocoumarol,2
Carbamazepine,Acenocoumarol,3
Carbimazole,Acenocoumarol,35
Cefazolin,Acenocoumarol,11
Ceftriaxone,Acenocoumarol,11
Celecoxib,Acenocoumarol,11
Ceritinib,Acenocoumarol,2
Chloramphenicol,Acenocoumarol,11
Chloroquine,Acenocoumarol,11
Chlorpropamide,Acenocoumarol,11
Cholecalciferol,Acenocoumarol,0
Cilostazol,Acenocoumarol,11
Cimetidine,Acenocoumarol,11
Citalopram,Acenocoumarol,0
Clarithromycin,Acenocoumarol,0
Clemastine,Acenocoumarol,0
Clofibrate,Acenocoumarol,11
Clomipramine,Acenocoumarol,11
Clopidogrel,Acenocoumarol,11
Clotrimazole,Acenocoumarol,0
Conivaptan,Acenocoumarol,2
Crisaborole,Acenocoumarol,0
Crizotinib,Acenocoumarol,0
Cyclobenzaprine,Acenocoumarol,11
Cyclosporine,Acenocoumarol,0
Cyproteroneacetate,Acenocoumarol,3
Dabigatranetexilate,Acenocoumarol,11
Dabrafenib,Acenocoumarol,3
Danazol,Acenocoumarol,11
Dasatinib,Acenocoumarol,11
Desipramine,Acenocoumarol,11
Desvenlafaxine,Acenocoumarol,1
Dexmethylphenidate,Acenocoumarol,2
Diclofenac,Acenocoumarol,11
Dicoumarol,Acenocoumarol,11
